job_title,employment_type,company,salary,processed_salary,min_education_level,requirements
Remote Associate Art Director,Full time,"Design Pickle
",21120 $ / year,Rp. 27.922.400,,"Robust conceptual, graphic design, type, and page layout skills for projects ranging from print to interactive to broadcast.
Exceptional eye for detail and a deep understanding of the technical aspects of branding.
Excellent communication skills, with an ability to clearly explain brand guidelines and their reasons.
Practical understanding of Adobe Creative Cloud: Photoshop, Illustrator, InDesign, After Effects, Premiere Pro, and Acrobat.
Practical understanding of Canva, Figma, Microsoft PowerPoint, and Google Slides.
Proficient in organizing and comprehending project requirements, even when they may not be well-defined.
Strong organizational and time-management skills and the ability to prioritize tasks and meet deadlines to ensure timely delivery of high-quality work.
Decision-making, negotiation, and forward-thinking skills."
Customer Service English,Full time,PT. Radikari,Rp 5 million-Rp 7 million,Rp. 6.000.000,S1,"D3/S1 from any discipline.
Hospitality Vocational School graduates are welcome to apply
Preferably has at least 1 year of experience in Flight/Travel Industry
Preferably have active English skills (speaking / writing)
Maximum Age 30
Familiar With Travel agency
Familiar with salesforce
Have good logical analysis and critical thinking skills
Empathy and good communication.
Process-oriented
Ready for working under pressure.
Ready for working Shift.
Good writing and speaking skills.
Pria/Wanita
Berpengalaman
Diploma
20 - 30 Tahun"
Remote Print Production Design Specialist,Full time,Design Pickle,19200 $ / year,Rp. 25.384.000,S1,"Bachelor’s degree in Graphic Design, Print Production, or a related field.
Proven track record of excellence in using Adobe InDesign and other print production tools for professional print projects.
Extensive experience with pre-press and press preparation processes, including a deep understanding of ink types, paper stocks, color management, and proofing techniques.
Advanced knowledge of additional print production tools and technologies. Ability to integrate these tools into workflows to enhance productivity and quality.
Exceptional attention to detail, with strong analytical and problem-solving abilities. Capable of troubleshooting and resolving complex print production issues.
Exceptional communication and interpersonal skills to build effective relationships, resolve conflicts constructively, and foster collaboration and teamwork.
Highly adaptable, able to quickly adjust to changes in project requirements, client feedback, and industry trends while maintaining a proactive and positive attitude.
Proficiency in utilizing remote work tools and technologies, coordinating virtual teams, maintaining productivity, ensuring effective communication, and creating a cohesive and engaged remote work environment."
Finance Internship,Contract ,INDORENT,Rp 2 million-Rp 2.2 million,Rp. 2.100.000,S1,"Male
Able to work independently and in a team as well as individually
Already do not have a class schedule / Employee class lecture Saturday-Sunday 
Able to operate Ms.Candidate must possess at least a bachelor's degree, master's Degree / Post Graduate Degree, Engineering (Computer / Telecommunication), Engineering 
Willing To Be Placed In Cikarang, Bekasi
No Work Experience
Diploma
17 - 25 years old
Candidate must possess at least a bachelor's degree
Province appropriate work placement (Jakarta)"
Administration Staff,Full time,PT Pandu Sukses Tama,Rp 6 million-Rp 10 million,Rp. 8.000.000,S1,"Male / Female
Maximum Age 33 Years Old
Minimum education: High School / Vocational School / D3 / S1
Minimum 1 Year Experience As Administration
Menguasai MS. Office (Word, Excel, Power Point)
Good communication and interpersonal skill
Willing to be placed in Cikarang, Bekasi
Proficient in MS. Office. Office. Word, Excel, PowerPoint and Internet
Able to work in a team and individually
Fresh Graduate Wellcome
Able to work under pressure"
Frontend Engineer,Full time,Legal Templates LLC,USD $20k - $25k,Rp. 356.962,,"At least 3+ years of experience working with React or other JavaScript frontend frameworks.
Experienced with React state containers (Redux or Flux).
Experienced with TypeScript.
Experience solving cross-browser compatibility issues and ways to work around them.
Experience writing robust test cases through Unit Test and Snapshots is a must.
Experience working with Ruby on Rails is a plus.
You exhibit a strong understanding of code versioning tools (Git).
You always test your code, both backend and frontend.
Strong focus on A/B testing methodologies, experience with VWO is a plus.
Ability to read, write and speak fluent English."
Sales manager,Full time,Third Party Formations,Rp 10 million-Rp 20 million,Rp. 15.000.000,S1,"Bachelor's degree in business, marketing or related field
Minimum 5 years experience in sales leadership position
Proven track record in meeting and exceeding sales goals
Excellent leadership and team management skills
Ability to promote collaboration and mutual respect
Excellent interpersonal and communication skills"
Sales Executive,Full time,Algorithmics Global FZE,IDR 4.500.000 - 15.000.000/month,Rp. 9.750.000,,"Have experience in sales B2C/B2B / B2G or in sales, preference in sales in related fields
Have a Laptop/PC / Personal Computer and good internet connection
Good communication skill
Have strong negotiation skills and can convince potential customers
Have a good understanding of the products and services offered.
Ability to work independently as well as in a team.
Ability to work under pressure and achieve sales targets
Have experience in teaching / training/coaching/presenting something to be an added value
Having knowledge of the world of programming, especially Python and Scratch is an added value"
Telemarketing,Full time,Algorithmics Global FZE,IDR 3.120.800 - 7.802.000 / month,Rp. 5.461.400,,"Good communication and interpersonal skills
Good communication skill in English
Have the ability to convince potential customers
Have a good understanding of the products and services offered.
Ability to work independently as well as in a team.
Ability to work under pressure
Fast learner and has good phone call experience
Having experience in sales and knowledge of CRM systems is an added value"
Client Relationship Manager,Full time,Algorithmics Global FZE,IDR 3.104.200 - 7.802.000 / month,Rp. 5.453.100,,"Have experience in the field of Customer Service with professionalism hardselling and softselling
Good communication and interpersonal skills
Have experience in the field of sales B2C / B2B/B2G, B2C is an added value
Having knowledge of CRM system is an added value
Good communication skill in English
Have strong negotiation skills and can convince potential customers
Have a good understanding of the products and services offered.
Ability to work independently as well as in a team.
Ability to work under pressure and achieve sales targets
Fast learner, has strong product knowledge and experience making good phone calls
Have experience in teaching / training/coaching/presenting something to be an added value
Having knowledge of the world of programming, especially Python and Scratch is an added value"
Direct Sales,Full time,Algorithmics Global FZE,"IDR 4,500,000 - 15,000,000 / month",Rp. 9.750.000,,"Have experience in the field of sales B2C/B2B / B2G or in sales, preference in sales in the field
related
Good communication and interpersonal skills
Good communication skill in English
Have strong negotiation skills and can convince potential customers
Have a good understanding of the products and services offered.
Ability to work independently as well as in a team.
Ability to work under pressure and achieve sales targets
Have experience in teaching / training/coaching/presenting something to be an added value
Having knowledge of the world of programming, especially Python and Scratch is an added value"
Field Collector (Bandung city),Contract ,Kredivo Group,IDR 4.200.000 - 4.210.000 / month,Rp. 4.205.000,S1,"Age 18 - 40 years old
Minimum 2 years experience as collector
Good command of written and spoken English
Know the area well
Good communication and negotiation skills
Minimum bachelor degree"
Field collector (West LOMBOK),Contract ,Kredivo Group,IDR 3.000.000 - 3.500.000 / Month,Rp. 3.250.000,S1,"Age 18 - 40 years
Preferably have at least 2 years experience as a collector/collector
Have a two-wheeled vehicle and a valid driver's License C
 Know the area well
Good communication and negotiation skills
 Minimum bachelor degree"
Field Collector (GIANYAR),Contract ,Kredivo Group,IDR3.500.000 - 5.000.000 / Month,Rp. 4.250.000,S1,"Age 18 - 40 years
Preferably have at least 2 years experience as a collector/collector
Have a two-wheeled vehicle and a valid driver's License C
 Know the area well
Good communication and negotiation skills
 Minimum bachelor degree"
"Field Collector (DENPASAR)
",Contract ,Kredivo Group,IDR 3.500.000 - 4.000.000 / Month,Rp. 3.750.000,S1,"Age 18 - 40 years
Preferably have at least 2 years experience as a collector/collector
Have a two-wheeled vehicle and a valid driver's License C
 Know the area well
Good communication and negotiation skills
 Minimum bachelor degree"
Field Collector (Bandung regency),Contract ,Kredivo Group,IDR 4.200.000 - 4.210.000 / Month,Rp. 4.205.000,S1,"Age 18 - 40 years
Preferably have at least 2 years experience as a collector/collector
Have a two-wheeled vehicle and a valid driver's License C
 Know the area well
Good communication and negotiation skills
 Minimum bachelor degree"
Online Admin (Field Travel),Full time,Pulang Hari Explorations,IDR 1.000.000 - 1.250.000 / Month,Rp. 1.125.000,,"Male / Female, minimum age 20 years.
Have a mobile phone with a stable internet connection.
Thorough and quick response in recording orders.
Proficient in using WhatsApp and simple spreadsheet applications (Google Sheets/Excel)."
"Content Writer
",Internship,Podcast Somestory,IDR 1.000.000 - 2.000.000 / Month,Rp. 1.500.000,S1,"Minimum bachelor degree
Less than 1 year experience"
Fullstack Engineer Project Based,Contract ,PT Okta Prima Mulya,IDR 4.000.000 - 8.000.000 / Month,Rp. 6.000.000,,"At least 2 years of working experience
Deign to sharescreen while working and completing commitments nimbly
 Ability and experience in using NextJS, React, Redux
Ability and experience in the use of Typescript, Socket io, PostgreSQL, Sequelize
Understand Linux Server
Can work independently
Fast response & love challenges
Main working hours start at 08.30 WIB-17.30"
Sales Marketing,Part-time,PT Urban Media Network,IDR 1.000.000 - 5.000.000 / month,Rp. 3.000.000,SMA,"Minimum education SMA / SMK, preferably if you have a degree in marketing, business management, or related fields.
Work experience in sales or marketing is an added value.
Have good communication, negotiation and presentation skills.
Target oriented and able to work under pressure.
Be able to use technology, Excel, or other digital devices."
Freelance Partnership Reseller,Freelance ,Pt. Cipta Gagah Perkasa,IDR 1.000.000 - 5.000.000 / month,Rp. 3.000.000,SMA,"Minimal SMA/SMK
Pengalaman kurang dari 1 tahun"
Technical Writer,Full time,PT. Aktuator Cipta Cendekia,IDR 3.000.000 - 4.000.000 / month,Rp. 3.500.000,,"Diploma in Business Administration, Legal Studies, or a related field.
Experience in compliance management, tender administration, and sales support.
Strong organizational skills and attention to detail.
Ability to coordinate and communicate effectively across departments and with external partners.
Proactive and independent worker with a results-driven approach.
Excellent written and verbal communication skills in both English and Bahasa Indonesia."
Penulis Lepas Bilingual - Pelatih AI,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Kualifikasi:
- Fasih berbahasa Indonesia dan Inggris (tingkat native atau bilingual)
- Gelar sarjana (sedang dijalani atau sudah selesai)
- Keterampilan menulis dan tata bahasa yang sangat baik
- Keterampilan penelitian dan pengecekan fakta yang kuat untuk memastikan keakuratan dan orisinalitas"
Penerjemah Bilingual - Pelatih AI,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Kualifikasi:

- Fasih berbahasa Indonesia dan Inggris (tingkat native atau bilingual)
- Gelar sarjana (selesai atau sedang berjalan)
- Keterampilan menulis dan tata bahasa yang sangat baik
- Keterampilan riset dan pengecekan fakta yang kuat untuk memastikan keakuratan dan orisinalitas"
Tutor- AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Editor Konten Bilingual - Pelatih AI,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"**Kualifikasi:**

- Fasih berbahasa Indonesia dan Inggris (tingkat native atau bilingual).
- Gelar sarjana (sudah lulus atau sedang menempuh pendidikan).
- Keterampilan menulis dan tata bahasa yang sangat baik.
- Keterampilan riset dan pengecekan fakta yang kuat untuk memastikan keakuratan dan orisinalitas."
Bilingual Freelance Writer - AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Translator- AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Localization Specialist- AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Travel Consultant- AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Bilingual Community Manager- AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Bilingual Customer Support Specialist- AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Interpreter- AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Bilingual Marketing Specialist- AI Trainer,Contract,DataAnnotation,"Rp. 310,574 an hour",Rp. 74.537.760,S1,"Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Backend Engineer (3+ Years Experience),Full-time / Contract,Pabbl,"Rp. 10,000,000 - Rp. 17,000,000 a month",Rp. 13.500.000,,"Requirements:

3+ years of experience in backend development.
Proficiency in Java and Spring.
Strong experience with MySQL database design and optimization.
Excellent problem-solving skills.
Good communication skills and a team player.
Organized and detail-oriented.
Basic data analysis skills.
Fluent in English.
Based in Indonesia (preferably Bali), but remote work is possible.
Knowledge of ElasticSearch for search solutions (optional).
Familiarity with monitoring tools like Grafana (optional).
Experience with Retool and React Native is a plus (optional)."
Real Estate Acquisitions Analyst (Fully Remote),Full-time,COARE Communities LLC,"Rp. 317,887,860 - Rp. 397,359,825 a year",Rp. 29.801.986,,"Requirements:

A modeling test will be required as part of the interview process
Must be comfortable working 9:00AM - 5:00PM EST (US Time Zone)
1 to 2 years proven work experience as an Analyst, Associate, Accountant or similar role
Prior background in Finance or Accounting required
Must be willing to work and entertain queries outside of regular working hours
Comfortable working in fast-paced environment with multiple competing deadlines
Highly organized with ability to prioritize work independently with minimal oversight
Impeccable attention to detail with a natural strength in mathematic
Highly responsive, able to respond to any inquiries from the acquisition team or 3rd parties within an hour of receipt during business hours"
Customer Service Officer (Remote) (English Speaking),Full-time,The Swim Starter,"Rp. 4,500,000 a month
",Rp. 4.500.000,,"Job Requirement

Fluent in English
A minimum of 2 years of experience is required (experience in the same industry would be an added advantage).
Able to adapt with fast-paced working environment
Good with numbers, data analysis
Fast learner (able to learn to use in-house system to handle leads)
Ad-hoc ops duties.
Implementing contingency flows in the case of an emergency.
Assist with Bi-annual test operations.
Preparing of Attendance for weekly classes.
Ensure that all tasks and checks assigned to Supervisors are carried out smoothly."
Paid Internship - Sales Intern (100% Remote),Part-time / Internship,Integris Capital,"Rp. 2,328,847 a month",Rp. 2.328.847,S1,"QUALIFICATIONS:

Currently enrolled in a Bachelor's degree program, preferably in Marketing, Sales, Business Administration, or a related field
Strong written and verbal communication skills in English
Excellent interpersonal skills and ability to work effectively in a distributed team environment
Self-motivated with a strong desire to learn and grow in the sales field, adaptable to different cultural and business contexts
Organized, detail-oriented, and able to manage multiple tasks efficiently in a remote work environment."
Business Development Representative (Indonesia - Jakarta based) - Remote,Full-time,PeopleScope (Asia),"Rp. 8,500,000 - Rp. 14,000,000 a month
",Rp. 11.250.000,S1,"SKILLS/REQUIRMENTS:

· Excellent verbal communication skills with a pleasant and confident telephone voice in speaking with business / technical decision makers

· Exceptional business written communication and grammar is a must

· Proficiency in Microsoft Office Suite, including Word and Outlook, Salesforce and LinkedIn is a plus

· 5+ years working experience (in B2B IT / telecom industry is a plus) with/or 3+ years of telemarketing or telesales experience in up sell or cross selling of solutions related to data center, collocation, network, managed services or private / public cloud.

· Business-level fluency in other languages is a plus (Bahasa Indonesia, English)

· Bachelor’s or Associates degree in business management or related field preferred."
IT Project Manager (Remote),Full-time,amIT Global Solutions Pvt Ltd,"Rp. 9,000,000 - Rp. 11,000,000 a month",Rp. 10.000.000,,
Content Marketing Internship (Remote) (English Speaking),Full-time / Internship,The Swim Starter,"Rp. 1,500,000 - Rp. 2,500,000 a month
",Rp. 2.000.000,,"Kualifikasi:

Percaya diri dan nyaman tampil di depan kamera
Tertarik dengan tren media sosial dan pemasaran konten
Memiliki keterampilan organisasi yang baik dan perhatian terhadap detail
Bersemangat bekerja di lingkungan yang menyenangkan dan berfokus pada anak-anak
Terbiasa menggunakan alat editing foto/video dasar (misalnya Canva, Capcut)
Keterampilan menulis yang baik untuk caption dan copywriting"
Public relations manager (Remote),Full-time,Algorithmics,"Rp. 7,780,000 a month",Rp. 7.780.000,,"Requirements:

Experience in offline marketing.
Deep understanding of the Indonesian market and its specifics.
Creativity and ability to develop unique marketing strategies.
Excellent communication skills and the ability to work in a team.
Ability to analyze campaign results and make necessary adjustments."
Outreach Representative,Full-time,No Risk Designs,"Rp. 40,000 - Rp. 60,000 an hour",Rp. 12.000.000,,"Requirements:

Fluency in English, with excellent verbal communication skills
Experience in cold calling or telemarketing, preferably with U.S.-based businesses
Ability to work independently and maintain high energy over prolonged call periods
Basic understanding of CRM software or willingness to learn
Self-motivated, goal-oriented, and comfortable working in a remote environment"
High-Quality Photo Editor Required – Bali-Based,Full-time / Temporary,Bubblegum Casting,"Rp. 3,500,000 - Rp. 6,000,000 a month",Rp. 4.750.000,,"Proven experience in photo editing and retouching.
Expertise in Adobe Photoshop, Lightroom, and other editing software.
Strong attention to detail and the ability to produce flawless work.
Excellent time management and organisational skills.
A creative mindset and the ability to adapt to different styles and client needs.
Based in Bali and able to work from our Canggu office 1–2 days per week.
Fluent English (written and spoken) for effective communication."
"DevOps Consultant, IgniteTech (Remote)",Full-time,Crossover,"$60,000/year USD",Rp. 79.325.000,,"Requirements

2+ years of DevOps experience, including automation of CI/CD pipelines and infrastructure management
2+ years of experience with Amazon Web Services (AWS) or Google Cloud Platform (GCP)
Proficiency in AI and machine learning tools used for monitoring, automation, and predictive analytics (or strong willingness to learn and adapt to AI-driven technologies)
Strong programming and scripting skills, with experience in automating tasks and building AI-driven processes
"
Sound Designer Internship (Remote),Internship,PT Sepuluh Sebelas Agensi,"Rp. 2,000,000 a month",Rp. 2.000.000,,
"INTERIOR DESIGNER (INTERMEDIATE, REMOTE WORKING)",Full-time,Ministry of Design Pte Ltd,"Rp. 15,000,000 - Rp. 20,000,000 a month",Rp. 17.500.000,,"Requirements:

1. Trained in interior design, e.g. Diploma or Degree in Interior Architecture or Interior Design

2. Relevant Work Experience: At least 5-7 years’ experience working on 5-star hotel projects

3. Highly creative, rigorous & organised, with a modern design sensibility

4. Proficiency in AutoCAD, Photoshop, InDesign and Sketch-Up

5. Fluent in English"
"DevOps Engineer, IgniteTech (Remote)",Full-time,Crossover,"$60,000/year USD",Rp. 79.325.000,,"Requirements

2+ years of DevOps experience, including automation of CI/CD pipelines and infrastructure management
2+ years of experience with Amazon Web Services (AWS) or Google Cloud Platform (GCP)
Proficiency in AI and machine learning tools used for monitoring, automation, and predictive analytics (or strong willingness to learn and adapt to AI-driven technologies)
Strong programming and scripting skills, with experience in automating tasks and building AI-driven processes"
Sales Support Executive (Remote),Full-time,Elite Asia (SG) Pte Ltd,"Up to Rp. 7,000,000 a month
",Rp. 7.000.000,S1,"Minimum Bachelor’s Degree (or equivalent)
Professional fluency in English
Able to work in a fast pace environment
Organized, good multicultural communications and coordination skills
Attention to detail"
IT Manajer,Full-time,PT Rakhasa Artha Wisesa,"Rp. 13,750,000 - Rp. 16,750,000 a month",Rp. 15.250.000,S1,"Persyaratan
1. Pendidikan dan Pengalaman:

Minimal S1 Teknologi Informasi, Ilmu Komputer, atau bidang terkait.
Pengalaman minimal 5 tahun di bidang IT dan 2 tahun di posisi manajerial.
Memahami arsitektur sistem, infrastruktur jaringan, dan pengembangan perangkat lunak.
2. Keterampilan Teknis:

Mahir dalam manajemen proyek IT (menguasai framework seperti Agile/Scrum).
Pemahaman mendalam tentang DevOps, CI/CD pipeline, dan cloud computing.
Menguasai tools manajemen tim seperti JIRA, Trello, atau Microsoft Project.
Kemampuan menganalisis dan meningkatkan keamanan sistem IT.
3. Keterampilan Manajerial:

Memiliki kemampuan kepemimpinan untuk mengelola tim lintas divisi.
Mampu menetapkan target, mengevaluasi kinerja, dan menyusun strategi IT yang sejalan dengan visi perusahaan.
Kemampuan komunikasi yang baik untuk menyampaikan ide dan laporan kepada manajemen.
4. Sifat Pribadi:

Proaktif, problem solver, dan inovatif.
Mampu bekerja di bawah tekanan dengan tenggat waktu ketat.
Berorientasi pada hasil dan kualitas kerja."
Android Developer (3-5 Years Experience),Full-time / Contract,Pabbl,"Rp. 10,000,000 - Rp. 17,000,000 a month
",Rp. 13.500.000,,"Requirements:

3-5 years of experience in Android development.
Proficiency in Java.
Strong understanding of Android SDK, Jetpack components, and modern development practices (e.g., MVVM, Dependency Injection).
Experience integrating third-party APIs and SDKs.
Experience with Firebase products and services.
Knowledge of app performance optimization and debugging tools.
Familiarity with RESTful APIs and JSON for app communication.
Experience using version control systems like Git.
Strong problem-solving skills and attention to detail.
Ability to work independently and collaboratively in a team.
Fluent in English is a must.
Preferred: Located in Indonesia (preferably Bali) but open to remote candidates."
Ad-hoc Engineer / Engineering Intern,Part-time / Temporary / Internship / Contract,Codingo Assignments Pte. Ltd.,"Rp. 3,000,000 - Rp. 13,000,000 a month",Rp. 8.000.000,,"Requirements:

A student majoring in Electrical Engineering (min. 4th semester) or relevant experience.
Proficiency in circuit design, PCB layout, microcontrollers (Arduino, Raspberry Pi), and simulation tools like MATLAB or LTSpice.
Experience in electrical system installation, power systems, or automation is a plus.
A strong portfolio showcasing your electrical projects.
Attention to detail and accuracy in project execution."
IT Support,Full-time,Myshrine studios,"Rp. 4,000,000 - Rp. 4,500,000 a month
",Rp. 4.250.000,S1,"Qualifications:

Bachelor’s degree in Information Technology, Computer Science, or a related field.
Proven experience in IT support or related roles.
Proficiency in operating systems (Windows, macOS), software applications, and basic networking.
MikroTik RouterOS Proficiency: In-depth understanding of MikroTik RouterOS for setup, configuration, and troubleshooting.
Networking: Proficiency in network fundamentals, including IP addressing, DHCP, NAT, VPN, VLANs, and firewall management.
MikroTik Configuration and Management: Ability to configure and manage MikroTik routers, switches, and related devices. This includes setting up routing, firewall rules, VPN tunnels, and monitoring network traffic.
Troubleshooting Skills: Strong diagnostic skills to quickly identify and resolve network and connectivity issues within MikroTik systems.
Strong analytical and problem-solving skills.
Ability to work independently and manage multiple tasks effectively.
Good communication skills for providing user support and training staff as needed."
Claim Analyst,Full-time,PT Provis Garuda Services,"Rp. 4,900,000 - Rp. 5,500,000 a month",Rp. 5.200.000,D3,"Pria/ Wanita
Usia Maksimal 35 Tahun
WAJIB Pendidikan Minimal D3 Kebidanan/ Keperawatan
Berpengalaman di Posisi yang Sama Minimal 1 Tahun
Terbiasa Bekerja Dalam Target
Tepat Dalam Memberikan Diagnosa Medis
Memahani Alur Kerja Sebagai Claim Analyst
Dapat Bergabung Secepatnya
Bersedia Ditempatkan di Sudirman Jakarta Selatan"
QA Test Engineer,Full-time,iCrest Sdn Bhd,"Rp. 11,000,000 a month",Rp. 11.000.000,S1,"Requirements:

Bachelor's degree in Computer Science, Information Technology, or related field.
Proven experience as a QA Tester or similar role.
Familiarity with Agile frameworks and regression testing.
Hands-on experience with automated testing tools.
Proficiency in SQL and scripting.
Knowledge of software QA methodologies, tools, and processes.
Experience with performance and/or security testing is a plus.
Strong analytical and problem-solving skills with attention to detail.
Ability to work effectively within a team and collaborate with cross-functional teams."
Pendukung Transaksi Kas Pegadaian,Full-time,PT Prima Karya Sarana Sejahtera,"Rp. 4,900,000 - Rp. 5,000,000 a month",Rp. 4.950.000,SMA,"Pendidikan minimal SMA/Sederajat, dibuktikan dengan copy ijazah dan transkrip nilai.
Diutamakan mampu mengoperasikan Microsoft Office program word dan excel.
Berpengalaman kasir/customer service minimal 1 tahun diutamakan industri keuangan, dibuktikan dengan surat keterangan kerja atau kontrak/PKWT.
Mampu berkomunikasi dengan baik.
Berdomisili di wilayah setempat dibuktikan dengan copy KTP atau surat keterangan domisili dari pejabat yang berwenang apabila KTP tiddak sesuai domisili.
Berkelakuan baik dibuktikan dengan Surat Keterangan Catatan Kepolisian (SKCK) dari kepolisian setempat.
Tidak pernah menggunakan Narkoba."
Technical and Application Support,Full-time,"Premium Technology, Inc.","Rp. 10,000,000 a month",Rp. 10.000.000,,"Qualifications

BS Degree or equivalent experience in Computer Science, Information Technology, related field.
5+ Years IT Support experience
Familiar with database system (Oracle, Postgre SQL) and application server (such as IBM WebSphere, JBoss)
Good analytical troubleshooting skills to isolate and resolve problems.
A good team player with the ability to coordinate with other teams to see complete solutions delivered
Strong listening skills with careful attention to detail
Strong written and oral communication skills in English"
Petugas Transaksi,Full-time,PT Prima Karya Sarana Sejahtera,"Rp. 5,067,381 - Rp. 5,067,382 a month",Rp. 5.067.381,S1,"Berusia maksimal 25 Tahun (belum berulang tahun ke 26 Tahun pada saat seleksi awal) dan belum menikah

Pendidikan S1 semua jurusan

Memiliki IPK minimal 2,75

Fresh Graduate (Diutamakan memiliki pengalaman 1 tahun)

Mampu menguasai Microsoft Office (Word, Excel, Power point)

Diutamakan yang berdomisili DKI Jakarta

Penempatan di salah satu Bank BUMN Terkemuka di Indonesia di Jakarta Pusat"
Test Engineering Engineer,Full-time,"Siliconware Precision Industries Co., Ltd._????????????","Rp. 19,589,444 a month",Rp. 19.589.444,,
Maths Teacher (British Curriculum),Part-time / Contract,"Filo edTech
","Rp. 50,000 - Rp. 80,000 an hour",Rp. 15.600.000,,"Qualifications

Qualified Teacher with expertise in Mathematics
Experience in lesson planning and curriculum development
Strong background in Mathematics Education"
Admin Assistant - HR & Finance,Full-time,Cove Eco Resort - Raja Ampat,"Rp. 4,500,000 - Rp. 6,000,000 a month",Rp. 5.250.000,,"Kualifikasi:

Diploma bidang perhotelan
Mahir komputer
Berbahasa Inggris
Cepat tanggap dan memiliki kepribadian yang positif"
Business Development Officer,Full-time,PT. Prodata Sistem Teknologi,"Rp. 5,000,000 - Rp. 7,000,000 a month",Rp. 6.000.000,,"Minimum Diploma Degree from all major preferably from Information Technology or has background in IT / computers/ applications related
Max age of applicants 35 years old Female
Understanding English in both oral & written
Have a good communication , interpersonal skill & Good looking personality."
"Customer Success Manager, IgniteTech (Remote)",Full-time,Crossover,"$60,000/year USD",Rp. 79.325.000,,"Requirements

At least 2 years of customer success experience in the B2B software industry
Previous experience working with GenAI tools (e.g., ChatGPT, Claude, Bard)
"
"DevOps Consultant, IgniteTech (Remote) ",Full-time,Crossover,"$60,000/year USD",Rp. 79.325.000,,"Requirements

2+ years of DevOps experience, including automation of CI/CD pipelines and infrastructure management
2+ years of experience with Amazon Web Services (AWS) or Google Cloud Platform (GCP)
Proficiency in AI and machine learning tools used for monitoring, automation, and predictive analytics (or strong willingness to learn and adapt to AI-driven technologies)
Strong programming and scripting skills, with experience in automating tasks and building AI-driven processes
"
"AI Account Executive, IgniteTech (Remote)",Full-time,Crossover,"$60,000/year USD",Rp. 79.325.000,,"Requirements

At least 2 years of customer success experience in the B2B software industry
Previous experience working with GenAI tools (e.g., ChatGPT, Claude, Bard)
"
"Manager of Customer Success, IgniteTech (Remote)",Full-time,Crossover,"$60,000/year USD",Rp. 79.325.000,,"Requirements

At least 2 years of customer success experience in the B2B software industry
Previous experience working with GenAI tools (e.g., ChatGPT, Claude, Bard)
"
Petugas Logistik,Full-time,PT Prima Karya Sarana Sejahtera,"Rp. 5,067,381 - Rp. 5,067,382 a month",Rp. 5.067.381,S1,"Berusia maksimal 25 Tahun (belum berulang tahun ke 26 Tahun pada saat seleksi awal) dan belum menikah

Pendidikan S1 semua jurusan

Memiliki IPK minimal 2,75

Fresh Graduate (Diutamakan memiliki pengalaman 1 tahun)

Mampu menguasai Microsoft Office (Word, Excel, Power point)

Diutamakan yang berdomisili DKI Jakarta

Penempatan di salah satu Bank BUMN Terkemuka di Indonesia di Jakarta Timur"
