Job Title,Job Category,Company Name,Salary,Requirements
Remote Creative Quality Specialist,Full time,Snaphunt,,"Scrutinizes customers' requests efficiently to guarantee they adhere to the Design Pickle quality control standards. Our Quality Specialists handle multiple revisions, addressing each one individually with speed and precision.Maintain High Productivity and Efficiency. Our Quality Specialists are expected to review an average of 50 requests within an 8-hour shift.Examine customer’s concerns from a quality perspective and offer valuable recommendations and observations to enhance our quality outputs.Perform technical reviews and provide well-founded feedback to creatives on requests on creative requests within our scope of service, focusing on customer instructions, brand adherence, copy accuracy, and general industry standards. You will be reviewing the creative output, not managing a team of creatives.Adheres to established quality control procedures while utilizing Design Pickle Platform functionalities correctly.Collaborates closely with Quality Specialist teammates and Quality Coordinator to streamline the handling of the quality review queue efficiently.Remains well-informed about the latest updates and pertinent information concerning the creative review process, ensuring the enforcement of up-to-date procedures.Generates weekly reports pinpointing areas for improvement in overall aesthetics and creative quality of clients' requests.Actively offers feedback to the Quality Coordinator regarding Quality Team procedures, contributing to the ongoing enhancement of quality control processes.Proactively notifies the Quality Coordinator about any abnormal system behavior or potential bugs identified in the Design Pickle Platform.Such other services as the Client may require.
The Profile
Requirements
Proficient in reviewing designs and artworks within the scope of the client's services.Proficiency in tools such as Adobe Creative Cloud, including Photoshop, Illustrator, InDesign, After Effects, and Premiere Pro as well as other tools like Microsoft PowerPoint, Google Slides, Canva, and FigmaKeen attention to detail, ensuring precision in the review of creative output.Ability to identify and address quality issues in creative works, covering aesthetic and technical considerations.Capacity to effectively comprehend information, ensuring a thorough review of requests based on Make Relish's clients' details and ticket specifications.Robust analytical and problem-solving skills essential for maintaining quality standards.Experience and knowledge of the creative industry, coupled with a constant drive to stay informed on evolving industry trends.Effective communication skills, both written and oral, facilitating clear and concise interactions.Ability to work effectively with minimal supervision in order to reach team goals and metrics."
Project Manager for Marketing Agency (US Based/Remote),Full time,Paired,,"Bachelor's degree in Business, Marketing, Operations Management, or a related field.Minimum 3 years of experience in operations management, preferably within the marketing or advertising industry.Team leading experience is preferred.Demonstrated success in developing and implementing operational strategies to drive efficiency and productivity.Strong analytical and problem-solving skills.Excellent leadership and team management abilities.Exceptional communication and interpersonal skills.Proven ability to work independently and remotely."
Media Buying and Creative Lead For DTC Brand (US Based/Remote),Full time,Paired,,"5+ years of experience in a relevant role, preferably in an ecommerce or retail environment.Proven experience in leading and managing a creative team.Deep understanding of the e-commerce landscape, including digital marketing channels, online sales funnels, and key performance indicators (KPIs) for measuring campaign success.Proven track record of planning, executing, and optimizing digital media campaigns across multiple channels, including paid search, social media, display advertising, and programmatic.Proficiency in managing advertising campaigns on major digital advertising platforms, such as Google Ads, Meta, Tiktok, Facebook Ads, Instagram Ads, etc.Strong portfolio showcasing your creative work across various platforms and mediums.Understanding of branding principles and ability to develop and maintain brand guidelines.Strong conceptual thinking and ability to translate ideas into visually appealing designs.Excellent communication and presentation skills.Ability to work collaboratively in a fast-paced, deadline-driven environment."
Operations Strategy Manager for Marketing Agency (US Based/Remote),Full time,Paired,,"Bachelor's degree in Business, Marketing, Operations Management, or a related field.Minimum 5 years of experience in operations management, preferably within the marketing or advertising industry.Demonstrated success in developing and implementing operational strategies to drive efficiency and productivity.Strong analytical and problem-solving skills.Excellent leadership and team management abilities.Exceptional communication and interpersonal skills.Proven ability to work independently and remotely."
Remote Graphic Designer (Specialist in Logo & Branding),Full time,Snaphunt,,"Can actively communicate with customers in written English in real-time.Have graphic design experience.Have a friendly, positive, and great team player attitude!Possess strong attention to detail.Can demonstrate proficiency in Adobe Photoshop, Illustrator, and InDesign.Have experience creating presentations in PowerPoint, and Google Slides.Have experience utilizing Canva.Enjoy looking up and learning new things quickly.Have an eye for accuracy, detail, and quality control.Have excellent communication and client handling skills (Customer Support experience is a plus!).Advanced knowledge in Adobe CC programs requiredFriendly and positive attitudeGreat team player attitudeExperience handling customersOwn reliable computer that meets these RequirementsInternet connection above 20 Mbps
The Employer
Our client is a global creative services company providing thousands of businesses with unlimited, high-quality design and illustration work at a flat rate. Founded in Scottsdale, Arizona, they were created to deliver reliable, affordable, and scalable creative content to any business."
Crypto Social Media Manager (Indonesia-Remote),Full time,Token Metrics,,Not Found
"UX Researcher (Remote, Flexi Schedule)",Full time,Company Confidential,,Not Found
"B2B Sales Manager Indonesia and Vietnam Job - iGaming - Remote, Asia",Full time,"B2B Sales Manager Indonesia and Vietnam Job - iGaming - Remote, Asia",,Not Found
Senior Graphic Designer for DTC Company (US Based/Remote),Full time,Paired,,"Ability to think creatively and come up with original ideas.
Minimum of 5 years of experience in a design role.Proven experience in packaging design, website design, and digital marketing materials.Strong portfolio showcasing a variety of design projects.Proficiency in design software such as Adobe Creative Suite (Photoshop, Illustrator, InDesign).Excellent visual design skills and a keen eye for detail.Strong communication and collaboration skills.Experience working with e-commerce brands is a plus."
Crypto Chief of Staff (Indonesia-Remote),Full time,Token Metrics,,Not Found
Graphic Designer for Tax Company (US Based/Remote) - Project Based,Full time,Paired,,"Ability to think creatively and come up with original ideas.
Minimum of 5 years of experience in a design role.Strong portfolio showcasing a variety of design projects.Proficiency in design software such as Adobe Creative Suite (Photoshop, Illustrator, InDesign).Excellent visual design skills and a keen eye for detail.Strong communication and collaboration skills."
Partnership Manager for Financial YouTuber (US-based/Remote),Full time,Paired,,"Quality of Outreach Communication: Exceptional written and verbal communication skills, with keen attention to detail and the ability to engage diverse audiences.Relationship Building: Strong interpersonal skills, customer service orientation, and proactive networking ability.Adaptability and Problem-Solving: Flexible and resourceful, with strong analytical skills to tackle complex challenges and develop effective solutions.Skill Enhancement: Commitment to continuous learning and professional development, with the ability to train and mentor team members.Initiative and Innovation: Proactive and innovative mindset, capable of managing projects and driving improvements in processes and outcomes."
Data Scientist – Remote,Full time,Company Confidential,,Not Found
Performance Engineer – Remote,Full time,Company Confidential,,"Bachelor’s degree in Computer Science, Engineering, or related field. Master’s degree preferred.Proven experience as a Performance Engineer or similar role, with a strong background in software development and performance testing.Proficiency in performance testing tools such as JMeter, LoadRunner, or Gatling.Experience with monitoring and profiling tools such as New Relic, AppDynamics, or Dynatrace.Solid understanding of software architecture, networking, and database systems.Strong analytical and problem-solving skills with the ability to troubleshoot complex performance issues.Familiarity with scripting and programming languages such as Python, Java, or JavaScript.Excellent communication and collaboration skills, with the ability to work effectively in a team environment.Knowledge of agile development methodologies and continuous integration/continuous deployment (CI/CD) practices.Kindly send us the five letter results. (e.g. ENTJ-T) to[email protected]together with links to your resume and sample works. Subject: Position you are applying for (e.g Backend Engineer)"
Senior Graphic Designer for a DTC Beauty & Skincare Company (US Based/Remote),Full time,Paired,,Not Found
Senior Relationship Manager (Remote),Full time,Snaphunt,,"This FULL-TIME ROLE will only suit someone who also meets the following requirements:
If you believe you are a great fit for the role and meet ALL requirements above, we are looking forward to hearing from you!
The Employer
Our client is a national digital health company with almost 20 years in the industry, comprising 5 divisions including the National Dental Network, Health Fund Partnerships, Projects & Investments plus more recently, Retail Dental Cover and Corporate Dental Cover."
Head of Crypto Investment Research (Indonesia-Remote),Full time,Tokenmetrics,,Not Found
Crypto Data Scientist / Machine Learning Engineer (Indonesia-Remote),Full time,Tokenmetrics,,Not Found
"Performance Engineer (Fully remote, Flexible Schedule)",Full time,Company Confidential,,Not Found
"Performance Optimization Engineer (Fully remote, Flexible Schedule)",Full time,Company Confidential,,Not Found
Senior Backend Developer - Node (100% Remote Indonesia Jakarta),Full time,Tether Operations Limited,,Not Found
UX Researcher – Remote,Full time,Company Confidential,,"Bachelor's or Master's degree in Human-Computer Interaction, Psychology, Sociology, Information Science, or a related field.Proven experience conducting UX research in a professional setting, preferably within a technology or digital product environment.Strong understanding of qualitative and quantitative research methods, including usability testing, interviews, surveys, and data analysis.Proficiency with research tools and software such as user testing platforms, survey tools, and analytics tools.Excellent analytical and problem-solving skills, with the ability to interpret complex data and distill actionable insights.Effective communication skills, with the ability to present research findings and recommendations to diverse audiences.Collaborative mindset and ability to work effectively in a cross-functional team environment.Passion for user-centered design and a commitment to advocating for the needs of our users."
Crypto UI/UX Engineer (Jakarta-Remote),"Full time, Contract/Temp",Token Metrics,,Not Found
Senior Backend Developer - Node (100% Remote Indonesia Surabaya),Full time,Tether Operations Limited,,Not Found
Senior Backend Developer - Node (100% Remote Indonesia Bandung),Full time,Tether Operations Limited,,Not Found
Customer Support (Mekari Talenta),Contract/Temp,PT Mid Solusi Nusantara (MEKARI),,"1 year of related working experience as a Payroll / Compensation Benefit. Fresh graduates from Accounting / Mathematics are also welcome.Good payroll knowledge is a must.People-oriented, proactive, and communicative.Good analytical, logical, and problem-solving skills.Good personality and emphatic.
Required Skills
Persuasion and NegotiationChat SupportCustomer ServiceTypingCommunication SkillsTaxationWilling to independently learn online and offlineFast adaptation"
Customer Support - Yogyakarta Placement,Full time,PT Mid Solusi Nusantara (MEKARI),,Not Found
3D Product/Industrial Designer for Furniture & Storage Products (US/Remote),Full time,Paired,,"Proven experience in 3D product or industrial design, with a strong portfolio demonstrating successful product design projects, particularly in the realm of wooden products, furniture, ornaments, and organizers.Extensive knowledge of manufacturing processes, materials, and production techniques, with a keen eye for balancing design aesthetics with cost-effective manufacturing considerations.Proficiency in 3D modeling software (e.g., Solidworks, Rhino, Autodesk Fusion 360) and rendering tools to create high-quality visualizations and technical drawings.Strong problem-solving skills and the ability to work collaboratively with cross-functional teams to overcome design and production challenges.Excellent communication and presentation skills to effectively convey design concepts and rationale to stakeholders.A passion for innovation and a commitment to creating products that not only meet but exceed customer expectations."
Software Engineer (Mekari Qontak),Full time,PT Mid Solusi Nusantara (MEKARI),,"Good knowledge of Ruby. Experience with Ruby frameworks (e.g. Rails, Sinatra) is a plus.Understand basic Javascript. Experience with Javascript frameworks (e.g. VueJs, ReactJs) is a plus.Familiarity with relational databases concepts (SQL syntax, indexing, structures, and query optimization).Understand programming practices such as separation of concerns, unit testing, and writing self-documenting code.Familiarity with version control systems such as Git or Mercury.Have some experience in deploying an app to the production environment
Soft Skill Requirements:
Integrity and humility is a mustPassionate about problem-solving and software engineeringPossess excellent teamwork skillGood communication skills with technical and non-technical team membersLove to learn new things and share them with others"
Account Manager (Financial Service),Full time,PT Mid Solusi Nusantara (MEKARI),,"Business/Management background with experience in start-up environments is preferableExperience in client-facing rolesPrior 2-3 years experience selling or marketing is a plus but is not requiredExcellent written and verbal communication skills. Fluent in English is a plusComfortable and confident speaking to mid-level and senior executivesStrong organizational skills and interpersonal communication skillsAnalytical, detail-oriented, and results-focused Scrappy and competitiveProficient with corporate productivity and web presentation toolsHave a positive, can-do attitude, extraordinary hustle, disdain for failure, and hunger/appreciation for the feedbackHuge plus: experience selling to HR Manager, CEO, Accountant or Finance Manager Comfortable working in a small, distributed team"
"Product Manager, FI",Full time,Setara Networks,,Not Found
Business Development (Mekari Jurnal),Full time,PT Mid Solusi Nusantara (MEKARI),,"Accounting/Management Background Preferable.Excellent written and verbal communication skills.Comfortable and confident speaking to mid-level and senior executives.Strong organizational skills and  interpersonal communication skills.Analytical, detail-oriented, and results-focused Scrappy and competitive!.Desire to drive results and improve every single day.Prior experience selling or marketing is a plus but is not required.We’re seeking an exceptional individual to help drive the growth of our sales efforts in the rapidly changing local delivery industry.If Possible Have 1-2 years of experience cold calling and selling SaaS or IT products (SMEs / SMBs), Fresh Graduate is also welcomed.If the possible track record of over-achieving quota.Proficient with corporate productivity and web presentation tools.Have a positive, can-do attitude, extraordinary hustle, disdain for failure, and hunger/appreciation for the feedback.Have deep self-motivation and the ability to self-manage.Huge plus: experience selling to HR Manager, CEO, Accountant or Finance Manager Comfortable working in a small, distributed team."
Partner Product Specialist,Full time,PT Mid Solusi Nusantara (MEKARI),,"Having an agile understanding of SaaS IndustryHas prior knowledge of ERP system/Omnichannel-CRM/Accounting (depends on product applied for)Has excellent oral and written communication skillsHas the ability to build relationships & collaborate with othersAble to learn fast and is eager to learnProficiency in processing data using MS Office (MS Excel and MS PowerPoint, in particular)"
Activation Specialist (Mekari Qontak) - Yogyakarta Placement,Full time,PT Mid Solusi Nusantara (MEKARI),,"Candidate must possess at least a Bachelor's Degree, preferably in Information TechnologyAt least 1 year(s) of working experience in a SaaS companyFluent in verbal and written EnglishFamiliar with CRM toolsProficient with corporate productivity and web presentation tools (Microsoft & Gsuite)Good analytical and problem-solving skillsComfortable with numbers and meeting clientsFast learner and independentHaving good interpersonal and teamwork skill"
Legal Associate,Full time,PT Mid Solusi Nusantara (MEKARI),,"Bachelor’s degree in Law from a reputable university.Having at least 1-year experience, preferably from a technology company or a law firm.Experience in drafting a business contract and contract negotiation.Excellent teamwork.Excellent communication in written and oral to liaise with business stakeholders. Able to communicate in English (written and oral) would be an advantage.Excellent analytical skills.Able to juggle multiple assignments simultaneously.Experience in advising non-legal persons on legal risks.Experience operating in ambiguous circumstances.Able to be proactive and take initiative."
Activation Specialist (Mekari Talenta) - Yogyakarta Placement,Full time,PT Mid Solusi Nusantara (MEKARI),,"Candidate must possess at least a Bachelor's Degree Information Technology, Accounting, Human Resource Management or equivalentAt least 1 year(s) of working experience handling Payroll or having experience in HRIS companyRequired skill(s): Knowledgeable of Payroll software, TAX, BPJS, Overtime, and the other Payroll component are related is added valueGood analysisComfortable with numbers and meeting clientsFast learner and independentHaving good interpersonal and teamwork skillAble to work under pressure"
Engineering Manager (Mekari Klikpajak),Full time,PT Mid Solusi Nusantara (MEKARI),,"3+ years experience as a full-time professional managerExperience with Go, Ruby or PHP, plus experience in Kubernetes or other container orchestration systemsExperience building out and maintaining large distributed systemsStrong written and verbal communication skillsPassionate about fostering good engineering practices and processes"
Certification Specialist Lead (Mekari University),Full time,PT Mid Solusi Nusantara (MEKARI),,"Minimum 2 years of related working experience in Accounting, Tax, HR, Learning & Development, or any related field.Candidates must possess at least a Bachelor's Degree in Accounting or equivalent.Required skills: Accounting and Taxation.Having a passion and experience in teaching/training is a must.Excellent written and verbal communication skills.Strong analytical and problem-solving skills.Good interpersonal and teamwork skills.Fast learner and independent.Able to work under pressure in a fast-paced environment.Proficient with corporate productivity and web presentation tools (Microsoft & G Suite).Proficient in Bahasa Indonesia and English."
Activation Specialist (Mekari Sign),Full time,PT Mid Solusi Nusantara (MEKARI),,Candidate possess at least a Bachelor's Degree of any major (Legal or related regulation major are a plus)Required skills in engaging and nurture E-sign software userProficient with corporate productivity and web presentation tools (Microsoft & Gsuite)Excellent written and verbal communication skills.Good analytical and problem-solving skillsComfortable with numbers and meeting clientsFast learner and independentGood interpersonal and teamwork skillsAble to work under pressure
Partnership Success,Full time,PT Mid Solusi Nusantara (MEKARI),,"1-2 years experience professional with proven  track record of building relationships and winning business.Has excellent oral and written communication skills.Has an interest in startups, tech ventures, and entrepreneurial environments.Has the ability to build relationships & collaborate with othersAble to learn fast and is eager to learn."
Community Intern (Next Level Internship),Contract/Temp,PT Mid Solusi Nusantara (MEKARI),,"Final year student or have recently graduated with a degree in marketing, communications, public relations, social science, or a related field.Ability to develop original ideas to solve problems and engage the community.Strong written and verbal communication skills in both Bahasa and English.Experience using whatsapp community for engagement and content creation.Strong ability to manage multiple tasks, prioritize work, and meet deadlines.Comfortable working in a team environment and collaborating across different departments.Ability to quickly learn new tools, systems, and processes.Familiarity with content management tools, good taste, basic design skills (canva), and experience in community management."
Sr. Frontend,Contract/Temp,PT Iforte Payment Infrastructure,,"Have a Bachelor Degree in Computer Science, Information Technology or related subject 3-4 years.Eager and passionate to learn.Proficiency in version control tools, such as Git is a plus.Strong knowledge in a testing (unit test or instrument test) is a plus.Solid understanding of algorithms, algorithmic complexities and design patterns is a plus.Strong attention to detail, analytical and problem solving skill.Able and enjoy to work in a team.Good communication and interpersonal skill.Strong knowledge of Android SDK & NDK.Have Experienced in MVC/MVVM/VIPER/MVI Design Pattern, Dependency Injection (Koin/Dagger), and Reactive Programming.Have Experience working with remote data via REST and JSON.Have Experience in performance analytical tools such as App Inspection, Profiler, and Benchmarking.Familiarity with Flutter and React Native framework is a plus."
International Go-to-Market Lead,Full time,PT Mid Solusi Nusantara (MEKARI),,"2 years of experience in technical client-facing e.g. systems integration, strategic partnership, technical sales/pre-sales1 year in sales/business development1 year experience in international sales and large enterprisesExcellent verbal and written English is a must (e.g. IELTS 6-6.5) - plus point for other languages (other than Bahasa Indonesia)Experience in B2B SaaS is a plusExperience in managing and building sales teamExperience in acquiring, managing and building partners networkExcellent presentation skillsExcellent collaboratorComfortable working with senior management"
Partner Executive Lead,Full time,PT Mid Solusi Nusantara (MEKARI),,Bachelor’s degree from any majorMin 4 years of experience as Sales/ Commercial PartnershipExcellent problem solving & analytical skillsAble to multitask & good time managementFluent in verbal and written EnglishContinuously updated with current business trendsAble to work under pressure
Senior Activation - Non Core (Mekari Talenta),Full time,PT Mid Solusi Nusantara (MEKARI),,"Candidate must possess at least a Bachelor's Degree Information Technology, Human Resource Management or equivalentAt least 1 year(s) of working experience handling Performance Management, Talent Management or having experience in HRIS companyRequired skill(s): Knowledgeable of People Development, Performance Management, Talent Management, Project ManagementGood analysisComfortable with meeting clientsFast learner and independentHaving good interpersonal and teamwork skillAble to work under pressure"
Activation Specialist - Chatbot AI (Mekari Qontak),Full time,PT Mid Solusi Nusantara (MEKARI),,"Fresh graduates are welcomedMust possess a Bachelor’s Degree, preferably in Information TechnologyPassionate with AI and its related fieldsComfortable with handling clientsHaving good interpersonal and teamwork skillsStrong organizational skills and attention to detail"
Senior Product Manager (Mekari Jurnal),Full time,PT Mid Solusi Nusantara (MEKARI),,Not Found
Commercial Strategic Partnership Associate,Full time,PT Mid Solusi Nusantara (MEKARI),,Bachelor’s degree in Business ManagementHaving 2 years of experienceExcellent Communication & Relationship BuildingHighly DrivenStrategic Thinking & Analytical MindsetProject Management
Sales Agent - Freelance (Mekari Talenta),Part time,PT Mid Solusi Nusantara (MEKARI),,"Bachelor's degree in any field.Prior experience in human resources or B2B sales is preferred.Ability to complete tasks with attention to detail, work independently, and multitask.Strong verbal and written communication skills, as well as strong negotiation skills."
Android Developer (Kotlin),Contract/Temp,PT Graha Karya Informasi,,Not Found
Account Manager - SMB,Full time,PT Mid Solusi Nusantara (MEKARI),,"Bachelor’s degree from any majorMin 1 year of experience as Account Executive/Account Manager or related roles in SaaS/Tech companyProficient with corporate productivity and web presentation tools (Microsoft & Gsuite)Comfortable and confident speaking to mid-level and senior executivesExcellent problem solving & analytical skillsAble to multitask & good time managementFluent in verbal and written EnglishContinuously updated with current business trendsAble to work under pressure
Our team will review your application and will be in touch if your application is shortlisted to the next stage. If you do not hear from us in 30 days, we will keep your resume on file in case a relevant opportunity opens up. Don't forget to check our Recruitment FAQ at bit.ly/RecruitmentFAQ-Mekari [ENG] or bit.ly/RekrutmenMekari-FAQ [INA] to find the answers to commonly-asked questions regarding our recruitment process. We wish you the best. Hope to see you around soon!"
Digital Marketing Specialist,Contract/Temp,The Well & Co Pty Ltd.,"Rp 4,950,000 per month",Not Found
Interior Architect,Full time,VONSUNG,Rp 7.000.000 – Rp 10.000.000 per month,Not Found
"Sr. Engineer Solution Engineering, Vietnam",Full time,Aurora Executive Placement,,Not Found
Sales Specialist,Part time,Talenesia,,Not Found
Software Engineer (MERN),Full time,Snaphunt,,Not Found
KEPALA SEKOLAH (PERKEBUNAN),Full time,"PT Austindo Nusantara Jaya, Tbk",,"Memiliki kualifikasi akademik minimal S1 atau D4 kependidikan atau non-kependidikan pada perguruan tinggi yang terakreditasiMemiliki pengalaman minimal 5 tahun dalam mengajar dan minimal 3 tahun menjabat sebagai kepala sekolahMemiliki sertifikat pendidik sebagai guru SD / SMP / SMAMemiliki sertifikat kepala SD / SMP/ SMA yang diterbitkan oleh lembaga yang ditetapkan oleh pemerintahMemahami sistem kurikulum di IndonesiaMemiliki integritas kepribadian sebagai pemimpinBersedia untuk ditempatkan di lokasi operasional perusahaan (remote area) di Siais (Kab. Tapanuli Selatan), Provinsi Sumatera Utara"
Motion Graphic Designer (For Active Pooling),Full time,FullFind,,"About Us:
Fullfind helps agencies and brands find their ‘perfect people’, no matter how far they are. We specialize in connecting agencies and brands with their perfect match for creative roles. Whether you’re in need of a talented video editor, graphic designer, or copywriter, Fullfind ensures you find the right fit for your team, no matter the distance. Our mission is to help you find the ideal match for creative roles, ensuring that your team is always equipped with the best talent.
Key Responsibilities:
Design and produce high-quality motion graphics and animations for various digital platforms, including social media, websites, and video content.Edit video footage and integrate motion graphics to enhance storytelling and visual appeal.Generate storyboards and conceptual designs that effectively communicate the intended message and visual style.Ensure that all motion graphics align with brand guidelines and maintain consistency across various media.
Requirements
Demonstrated experience as a Motion Graphic Designer or similar role with a strong portfolio showcasing a range of motion graphic and animation projects.
Proficiency in motion graphics software such as Adobe After Effects, Adobe Premiere Pro, and other relevant tools.Strong creative vision with the ability to think outside the box and produce visually stunning motion graphics.Ability to work independently in a remote setup, with a reliable internet connection and suitable workspace.Exceptional command of the English language, both written and verbal."
"Restaurant Supervisor (Pererenan, Full-Time)",Full time,Outpost,,Not Found
Senior Software Engineer - AI-Powered Conversational Systems,Full time,Snaphunt,,Not Found
Digital Marketing (Active Pooling),Full time,FullFind,,Not Found
Software Engineer,Full time,Snaphunt,,Not Found
Influencer Marketer,Full time,Boo,,"Bachelor's degree in Marketing, Communications, Business, or related field.Proven experience (5 years) in influencer marketing, preferably within the social media or digital marketing industry.Strong understanding of social media platforms, trends, and algorithms.Excellent communication and negotiation skills.Creative thinking and ability to develop innovative influencer strategies.Strong organizational skills and ability to manage multiple projects simultaneously.Data-driven mindset with proficiency in analyzing campaign metrics.Self-motivated and able to work independently as well as collaboratively in a team environment.Passion for social media and influencer culture.
What's on Offer?
Opportunity within a company with a solid track record of performanceFlexible working optionsOpportunity to make a positive impact"
Senior Static Ad Graphic Designer for a DTC Supplements Company (US Based),Full time,Paired,,"3-5 years of graphic design experience with a strong portfolio showcasing diverse creative projectsProficiency in Adobe Photoshop, Illustrator, Figma, and working knowledge of HTML/CSS (preferred)Experience in brand identity, layout design, typography, print, and web designFamiliarity with e-commerce platforms like ShopifyStrong analytical, proofreading, and attention to detail skillsAbility to translate strategic direction into high-quality designsKnowledge of current market trends and ability to adapt quickly to new technologiesExperience with consumer packaging design and direct-to-consumer e-commerce brands (preferred)Bachelor's degree in graphic arts, design, communications, or related field (preferred but not required)"
Crypto Social Media Manager (Indonesia -Remote),Full time,Token Metrics,,Not Found
Client Success Manager (Active Pooling),Full time,FullFind,,Not Found
Customer Relations Staff,Full time,TROPICAL NOMAD COWORKING SPACE,,Not Found
Customer Success Manager (France),Full time,OneStream Software,,Exceptional relationship-building skills with a customer-first mindset.Strong problem-solving abilities and a “can-do” attitude.Adept at navigating strategic and tactical conversations.Highly organized with excellent communication skills.
Accounting Executive,Full time,PT JAY ISLAND GROUP,Rp 7.000.000 – Rp 10.000.000 per month,"Proficiency in accounting software (Xero).Strong analytical and problem-solving skills.Excellent attention to detail and accuracy.Ability to work under pressure and meet tight deadlines.Proficiency in Microsoft Office Suite, especially Excel.A strong cultural fit with the Company, exhibiting adaptability, integrity, and a robust work ethic.Demonstrated commitment to ethical behavior and alignment with the Company's core values of ownership, transparency, and progressiveness."
Online Sales & Marketing,Part time,PT Commeasure Solutions Indonesia,,Not Found
Frontend Engineer (iOS),Contract/Temp,PT Nomura Research Institute Indonesia,,"What you need to have (Minimum Qualifications)
● 6+ years of experience in native iOS app development.
● Proficiency with Swift, Objective-C, and SwiftUI.
● Experience with cross-platform frameworks like Flutter, React Native, or Kotlin Multiplatform is a plus.
● Understanding mobile app design patterns (MVC, MVP, MVVM, Clean Architecture, VIPER).
● Experience with RESTful APIs, GraphQL, and integrating third-party libraries.
● Experience with building and maintaining iOS frameworks using CocoaPods/Swift Packages.
● Knowledge of unit and automated testing using XCUI.
● Familiarity with tools like Jenkins, Fastlane, and version control systems (Git, GitLab).
● Strong problem-solving skills and attention to detail.
● Experience with Continuous Integration and Continuous Delivery (CI/CD) processes.
● Published production-grade apps in the App Store or a portfolio demonstrating relevant work.
● Understanding of user-friendly experience and interface design principles.
● Adherence to security and data protection guidelines for mobile applications.
What would make you stand out from the crowd (Preferred Qualifications)
● Familiarity with Bluetooth, Digital Key, Core Bluetooth, External accessory, OAuth 2.0, and iAP2.
● Experience in Agile and Test-driven development environments.
● Good knowledge of UX best practices and mobile accessibility standards.
● Experience with App Store policies and app submission.
● Strong communication skills and ability to collaborate well with remote teams."
HSE and Compliance Manager (Toys/Textiles - Indonesia),Full time,Metasource,,Not Found
Frontend Engineer (Android),Contract/Temp,PT Nomura Research Institute Indonesia,,"What you need to have (Minimum Qualifications)
6+ years of experience in native Android app development.Proficiency with Kotlin and Java.Strong knowledge of Android SDK, Jetpack Compose, and Android UI design principles.Experience with building and maintaining Android libraries via Gradle/Maven.Experience with RESTful APIs, GraphQL, JSON, and integrating third-party libraries and APIs.Knowledge of unit and automated testing using Espresso UI Automation.Familiarity with tools like Jenkins, Fastlane, and version control systems (e.g., Git, GitLab).Strong problem-solving skills and attention to detail.Experience with Continuous Integration and Continuous Delivery (CI/CD) processes.Published production-grade apps on Google Play or a portfolio demonstrating relevant work.Understanding mobile app design patterns (MVC, MVP, MVVM, Clean Architecture, VIPER).Strong experience collaborating with designers and UX experts to create great user experiences.Adherence to security and data protection guidelines for mobile applications.
What would make you stand out from the crowd (Preferred Qualifications)
Familiarity with Bluetooth, BT Profiles, Digital Key, Core Bluetooth, External accessories, OAuth 2.0, and iAP2Experience in Agile and Test-driven development environments.Good knowledge of UX best practices and mobile accessibility standards.Experience with App Store policies and app submissionStrong communication skills and ability to collaborate well with remote teams."
Duty Manager24200705,Full time,The Laguna a Luxury Collection Resort & Spa Nusa Dua Bali,,Not Found
IT Support,Full time,PT. Sega Agro Perdana,,Not Found
Senior Frontend Developer (React),Full time,Snaphunt,,Not Found
ERP Functional Consultant,Full time,PT UNRAVEL CONSULTING INDONESIA,,"2+ years of experience with OdooExcellent English communication skillsAbility to travel for on-site projectsExperience in the hospitality industry and/or manufacturing is a plusKnowledge of Odoo development (Python, XML) is a plus"
Guest Experience Executive,Full time,PT. Outpost Creative Space,,Not Found
Asst. Restaurant Manager24199716,Full time,The Sira a Luxury Collection Resort and Spa Lombok,,Not Found
Social Media Specialist,Contract/Temp,FullFind,,"* Proven experience in social media strategy and content creation.
* Strong communication and writing skills.
* Ability to manage multiple social media platforms.
* Experience in crisis communication is a plus.
* Proficient in analyzing and reporting on communication efforts.
* Ability to work collaboratively with a team.
* Experience in political campaigns or advocacy is preferred."
Social Media Manager,Full time,Sizanid HR,,"Bachelor's degree in Marketing, Communications, or a related field.3+ years of experience in social media management or a similar role.Proficiency in social media platforms and tools (Hootsuite, Buffer, or similar).Strong writing, editing, and communication skills with a keen eye for detail.Experience in content creation and graphic design (familiarity with Canva or Adobe Creative Suite is a plus).Ability to analyze data and create reports to inform strategy adjustments.Understanding of SEO, PPC, and digital marketing principles.Creative thinker with a passion for storytelling through digital media.Strong organizational skills and the ability to manage multiple projects simultaneously."
Business Development & Partnership Specialist – POI 2024 | FULL-TIME EMPLOYEE,Contract/Temp,Perkumpulan OpenStreetMap Indonesia,,Not Found
B2B Business Developer / Sales Executive AEC - Partnership opportunity,Full time,Uptalent.io,,"Proven experience in business development, sales, or partnerships.Knowledge of the engineering, architecture, and/or construction sectors.Track record of generating leads and nurturing them through the sales funnel.Fluent in written and spoken English.Self-motivated, results-oriented, and committed to creating value.
If you’re a proactive professional who thrives on results, we’d love to explore this partnership with you."
IT Support,Full time,PT Sega Agro Perdana,Rp 3.500.000 – Rp 5.000.000 per month,Not Found
